company_idx,tau_0.01,tau_0.02,tau_0.03,tau_0.05,tau_0.075,tau_0.1,tau_0.125,tau_0.15,tau_0.2,tau_0.25,tau_0.3,tau_0.375,tau_0.45,tau_0.55,tau_0.65,tau_0.75,tau_0.85,tau_1
1712,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,1445000.0,1445000.0,1445000.0,1445000.0,1445000.0,1445000.0,1445000.0,1445000.0,1445000.0,1445000.0
1713,125000.0,125000.0,125000.0,125000.0,415000.0,415000.0,415000.0,415000.0,415000.0,415000.0,415000.0,415000.0,415000.0,415000.0,415000.0,415000.0,415000.0,415000.0
1714,2600000.0,2600000.0,2600000.0,2600000.0,2600000.0,2600000.0,9375002.0,9375002.0,9375002.0,9375002.0,9375002.0,9375002.0,9375002.0,23164241.0,25224241.0,25224241.0,25224241.0,25224241.0
1715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,622870.0,1521084.0,1521084.0,1521084.0,1521084.0,1521084.0,1521084.0,1521084.0
1717,100000.0,100000.0,100000.0,100000.0,100000.0,3100000.0,3100000.0,3100000.0,3200000.0,3200000.0,3200000.0,3200000.0,3300000.0,3300000.0,3300000.0,3300000.0,3300000.0,3300000.0
1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
1719,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,4500000.0,4500000.0,4500000.0,4500000.0
1720,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,5700000.0,5700000.0,5700000.0,5700000.0,5700000.0,5700000.0,5700000.0
1721,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,6000000.0
1722,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,13500000.0,13500000.0,13500000.0,13500000.0,43800000.0,43800000.0,43800000.0,43800000.0
1723,795000.0,795000.0,795000.0,795000.0,795000.0,795000.0,795000.0,795000.0,795000.0,795000.0,795000.0,795000.0,795000.0,795000.0,795000.0,6545000.0,7510000.0,8534999.0
1724,19311.0,19311.0,19311.0,19311.0,19311.0,19311.0,19311.0,19311.0,19311.0,519311.0,519311.0,519311.0,1397531.0,1397531.0,1397531.0,1397531.0,1397531.0,1397531.0
1725,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,4782028.0,4782028.0
1726,3880000.0,3880000.0,3880000.0,3880000.0,3880000.0,3880000.0,3880000.0,3880000.0,3880000.0,13880000.0,13880000.0,13880000.0,13880000.0,13880000.0,19380744.0,19380744.0,19380744.0,46580744.0
1727,230336.0,230336.0,230336.0,235042.0,235042.0,253042.0,253042.0,253042.0,1523042.0,1523042.0,1523042.0,1523042.0,1523042.0,1523042.0,1523042.0,1523042.0,4323042.0,4323042.0
1728,9200000.0,9200000.0,9200000.0,9200000.0,9200000.0,9200000.0,9200000.0,9200000.0,9200000.0,9200000.0,9200000.0,9200000.0,10200000.0,10200000.0,10200000.0,10200000.0,10200000.0,10200000.0
1729,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0
1730,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0,214185.0
1731,300000.0,300000.0,300000.0,300000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0
1732,459937.0,459937.0,459937.0,459937.0,459937.0,459937.0,459937.0,459937.0,997917.0,997917.0,997917.0,997917.0,997917.0,997917.0,997917.0,997917.0,997917.0,997917.0
1733,2500000.0,2500000.0,2500000.0,2500000.0,3100000.0,3100000.0,5700000.0,5700000.0,5700000.0,5700000.0,5700000.0,5700000.0,5700000.0,5700000.0,5700000.0,5700000.0,5700000.0,5700000.0
1734,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,4150000.0
1735,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,11150004.0,11150004.0,11150004.0,11150004.0,11150004.0
